SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,23726,846,22525,355,0,0,0,0,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,3186,60,3078,48,0,0,0,0,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,2717,21,2675,21,0,0,0,0,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,2658,64,2541,53,0,0,0,0,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,5519,124,5304,91,0,0,0,0,0,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,0,0,0,0,0,0,0,0,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,5535,184,5263,88,0,0,0,0,0,,
238,JK,Jammu and Kashmir,JK_Punch,Punch,2444,24,2397,23,0,0,0,0,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,3835,177,3604,54,0,0,0,0,0,,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,2103,31,2051,21,0,0,0,0,0,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,1624,50,1559,15,0,0,0,0,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,2744,172,2534,38,0,0,0,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,2495,93,2364,38,0,0,0,0,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,25264,565,24250,449,0,0,0,0,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,4079,69,3953,57,0,0,0,0,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,13666,22,13508,136,0,0,0,0,0,,
271,KA,Karnataka,KA_Ballari,Ballari,38848,203,38048,597,0,0,0,0,0,,
272,KA,Karnataka,KA_Belagavi,Belagavi,26236,193,25701,342,0,0,0,0,0,,
274,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,18236,256,17828,152,0,0,0,0,0,,
273,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,387832,7534,375986,4311,1,0,0,0,0,,
275,KA,Karnataka,KA_Bidar,Bidar,7251,39,7037,171,4,0,0,0,0,,
276,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,6770,83,6557,119,11,0,0,0,0,,
277,KA,Karnataka,KA_Chikkaballapura,Chikkaballapura,12952,222,12613,116,1,0,0,0,0,,
278,KA,Karnataka,KA_Chikkamagaluru,Chikkamagaluru,13675,114,13422,139,0,0,0,0,0,,
279,KA,Karnataka,KA_Chitradurga,Chitradurga,14250,157,14025,68,0,0,0,0,0,,
280,KA,Karnataka,KA_Dakshina Kannada,Dakshina Kannada,32849,296,31817,734,2,0,0,0,0,,
281,KA,Karnataka,KA_Davanagere,Davanagere,22011,116,21631,264,0,0,0,0,0,,
282,KA,Karnataka,KA_Dharwad,Dharwad,21859,111,21140,608,0,0,0,0,0,,
283,KA,Karnataka,KA_Gadag,Gadag,10903,27,10735,141,0,0,0,0,0,,
284,KA,Karnataka,KA_Hassan,Hassan,28000,249,27358,393,0,0,0,0,0,,
285,KA,Karnataka,KA_Haveri,Haveri,10959,20,10749,190,0,0,0,0,0,,
286,KA,Karnataka,KA_Kalaburagi,Kalaburagi,21065,197,20545,323,0,0,0,0,0,,
287,KA,Karnataka,KA_Kodagu,Kodagu,5728,93,5564,71,0,0,0,0,0,,
288,KA,Karnataka,KA_Kolar,Kolar,9700,125,9399,176,0,0,0,0,0,,
289,KA,Karnataka,KA_Koppal,Koppal,13872,62,13531,279,0,0,0,0,0,,
290,KA,Karnataka,KA_Mandya,Mandya,19418,154,19117,147,0,0,0,0,0,,
291,KA,Karnataka,KA_Mysuru,Mysuru,52346,446,50887,1013,0,0,0,0,0,,
0,KA,Karnataka,KA_Other State,Other State,36,0,33,3,0,0,0,0,0,,
292,KA,Karnataka,KA_Raichur,Raichur,14157,64,13935,158,0,0,0,0,0,,
293,KA,Karnataka,KA_Ramanagara,Ramanagara,7376,35,7265,76,0,0,0,0,0,,
294,KA,Karnataka,KA_Shivamogga,Shivamogga,22025,194,21483,348,0,0,0,0,0,,
295,KA,Karnataka,KA_Tumakuru,Tumakuru,24507,341,23789,377,0,0,0,0,0,,
296,KA,Karnataka,KA_Udupi,Udupi,23039,62,22789,188,0,0,0,0,0,,
297,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,14219,87,13956,176,0,0,0,0,0,,
298,KA,Karnataka,KA_Vijayapura,Vijayapura,14182,84,13894,204,0,0,0,0,0,,
299,KA,Karnataka,KA_Yadgir,Yadgir,10577,24,10492,61,0,0,0,0,0,,
0,KL,Kerala,KL_Other State,Other State,0,0,0,0,0,0,0,0,0,,
300,KL,Kerala,KL_Alappuzha,Alappuzha,56904,3941,52703,239,21,0,0,0,0,,
301,KL,Kerala,KL_Ernakulam,Ernakulam,82934,8532,74083,307,12,0,0,0,0,,
302,KL,Kerala,KL_Idukki,Idukki,16342,3008,13314,17,3,0,0,0,0,,
303,KL,Kerala,KL_Kannur,Kannur,39493,3509,35777,199,8,0,0,0,0,,
304,KL,Kerala,KL_Kasaragod,Kasaragod,24064,1595,22380,85,4,0,0,0,0,,
305,KL,Kerala,KL_Kollam,Kollam,59005,4698,54076,216,15,0,0,0,0,,
306,KL,Kerala,KL_Kottayam,Kottayam,50767,6946,43669,149,3,0,0,0,0,,
307,KL,Kerala,KL_Kozhikode,Kozhikode,85759,5469,79984,292,14,0,0,0,0,,
308,KL,Kerala,KL_Malappuram,Malappuram,90432,4981,85103,338,10,0,0,0,0,,
309,KL,Kerala,KL_Palakkad,Palakkad,47777,4886,42758,126,7,0,0,0,0,,
310,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,29987,5907,24026,52,2,0,0,0,0,,
311,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,81478,3198,77557,652,71,0,0,0,0,,
312,KL,Kerala,KL_Thrissur,Thrissur,74019,5981,67708,322,8,0,0,0,0,,
313,KL,Kerala,KL_Wayanad,Wayanad,16758,2742,13966,49,1,0,0,0,0,,
314,LA,Ladakh,LA_Kargil,Kargil,2095,9,2043,43,0,0,0,0,0,,
315,LA,Ladakh,LA_Leh,Leh,7352,180,7088,84,0,0,0,0,0,,
316,LD,Lakshadweep,LD_Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,,
369,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,68949,1685,66220,1043,1,0,0,0,0,,
370,MH,Maharashtra,MH_Akola,Akola,10554,333,9870,346,5,0,0,0,0,,
371,MH,Maharashtra,MH_Amravati,Amravati,19997,501,19113,381,2,0,0,0,0,,
372,MH,Maharashtra,MH_Aurangabad,Aurangabad,47821,976,45623,1207,15,0,0,0,0,,
374,MH,Maharashtra,MH_Beed,Beed,17036,314,16194,521,7,0,0,0,0,,
373,MH,Maharashtra,MH_Bhandara,Bhandara,12663,453,11933,275,2,0,0,0,0,,
375,MH,Maharashtra,MH_Buldhana,Buldhana,13589,578,12788,217,6,0,0,0,0,,
376,MH,Maharashtra,MH_Chandrapur,Chandrapur,23226,775,22061,389,1,0,0,0,0,,
377,MH,Maharashtra,MH_Dhule,Dhule,15622,240,15035,344,3,0,0,0,0,,
378,MH,Maharashtra,MH_Gadchiroli,Gadchiroli,8494,186,8215,87,6,0,0,0,0,,
379,MH,Maharashtra,MH_Gondia,Gondia,13803,397,13245,155,6,0,0,0,0,,
380,MH,Maharashtra,MH_Hingoli,Hingoli,4174,94,3984,96,0,0,0,0,0,,
381,MH,Maharashtra,MH_Jalgaon,Jalgaon,56069,444,54158,1447,20,0,0,0,0,,
382,MH,Maharashtra,MH_Jalna,Jalna,12775,205,12228,341,1,0,0,0,0,,
383,MH,Maharashtra,MH_Kolhapur,Kolhapur,49121,494,46965,1659,3,0,0,0,0,,
384,MH,Maharashtra,MH_Latur,Latur,23264,387,22193,680,4,0,0,0,0,,
385,MH,Maharashtra,MH_Mumbai,Mumbai,292722,9049,271708,11107,858,0,0,0,0,"[Sep 9]After reconciling COVID-19 cases in Mumbai, owing to the removal of duplicates and change of addresses as per the original residence, 239 cases have been removed from the progressive figures.",
386,MH,Maharashtra,MH_Mumbai Suburban,Mumbai Suburban,0,0,0,0,0,0,0,0,0,,
387,MH,Maharashtra,MH_Nagpur,Nagpur,124881,4166,117497,3200,18,0,0,0,0,District administration provides number of persons tested instead of the number of samples tested.,
388,MH,Maharashtra,MH_Nanded,Nanded,21310,384,20260,661,5,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
389,MH,Maharashtra,MH_Nandurbar,Nandurbar,8119,419,7530,169,1,0,0,0,0,,
390,MH,Maharashtra,MH_Nashik,Nashik,114991,1749,111347,1894,1,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
391,MH,Maharashtra,MH_Osmanabad,Osmanabad,16831,195,16098,536,2,0,0,0,0,,
0,MH,Maharashtra,MH_Other State,Other State,855,785,0,69,1,0,0,0,0,,
392,MH,Maharashtra,MH_Palghar,Palghar,46687,338,45421,911,17,0,0,0,0,,
393,MH,Maharashtra,MH_Parbhani,Parbhani,7589,145,7151,282,11,0,0,0,0,,
394,MH,Maharashtra,MH_Pune,Pune,372103,13743,350564,7760,36,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
395,MH,Maharashtra,MH_Raigad,Raigad,66240,489,64257,1487,7,0,0,0,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
396,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,11169,394,10397,376,2,0,0,0,0,,
397,MH,Maharashtra,MH_Sangli,Sangli,50126,327,48028,1768,3,0,0,0,0,,
398,MH,Maharashtra,MH_Satara,Satara,54438,755,51918,1755,10,0,0,0,0,,
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,6018,331,5526,160,1,0,0,0,0,,
400,MH,Maharashtra,MH_Solapur,Solapur,53309,802,50733,1758,16,0,0,0,0,,
401,MH,Maharashtra,MH_Thane,Thane,254074,10159,238283,5573,59,0,0,0,0,,
402,MH,Maharashtra,MH_Wardha,Wardha,9452,267,8916,265,4,0,0,0,0,,
403,MH,Maharashtra,MH_Washim,Washim,6804,142,6511,149,2,0,0,0,0,,
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,13728,365,12964,395,4,0,0,0,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,339,1,337,1,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,526,0,526,0,0,0,0,0,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,8264,135,8016,113,0,0,0,0,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,117,1,114,2,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,1350,24,1324,2,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,197,0,196,1,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,198,3,193,2,0,0,0,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,57,0,57,0,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,1709,14,1679,16,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,478,1,476,1,0,0,0,0,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,173,5,167,1,0,0,0,0,0,,
0,MN,Manipur,MN_CAPF Personnel,CAPF Personnel,2620,1219,1399,2,0,0,0,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,1275,1196,58,21,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,348,335,4,9,0,0,0,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,1411,1327,58,26,0,0,0,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,5466,5241,150,75,0,0,0,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,8516,8369,52,95,0,0,0,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,265,263,2,0,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,755,721,27,7,0,0,0,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,251,234,17,0,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,611,583,19,9,0,0,0,0,0,,
414,MN,Manipur,MN_Noney,Noney,321,302,18,1,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,37,22,15,0,0,0,0,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,475,453,21,1,0,0,0,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,1333,1295,32,6,0,0,0,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,276,262,13,1,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,2263,2200,23,40,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,534,514,18,2,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,627,25,592,10,0,0,0,0,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,1246,33,1200,13,0,0,0,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,1995,18,1963,14,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,1086,31,1038,17,0,0,0,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,3008,88,2907,13,0,0,0,0,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,2708,108,2576,24,0,0,0,0,0,,
323,MP,Madhya Pradesh,MP_Betul,Betul,3195,88,3038,69,0,0,0,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,1457,25,1422,10,0,0,0,0,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,39123,1994,36554,575,0,0,0,0,0,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,844,3,814,27,0,0,0,0,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,2012,59,1921,32,0,0,0,0,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,2658,45,2571,42,0,0,0,0,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,2627,148,2403,76,0,0,0,0,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,1819,57,1742,20,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,2745,64,2655,26,0,0,0,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,3826,100,3670,56,0,0,0,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,948,16,931,1,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,1445,56,1363,26,0,0,0,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,15894,341,15354,199,0,0,0,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,2027,46,1947,34,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,3582,57,3466,59,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,54684,2955,50858,871,0,0,0,0,0,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,15489,489,14759,241,0,0,0,0,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,2356,107,2222,27,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,2128,48,2063,17,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,2231,40,2128,63,0,0,0,0,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,5055,184,4778,93,0,0,0,0,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,1195,37,1148,10,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,2647,143,2471,33,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,3192,15,3150,27,0,0,0,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,3403,60,3316,27,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,2918,109,2772,37,0,0,0,0,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,636,21,613,2,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,1044,64,976,4,0,0,0,0,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,2338,59,2234,45,0,0,0,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,2268,102,2107,59,0,0,0,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,4387,273,4037,77,0,0,0,0,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,3797,115,3649,33,0,0,0,0,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,5000,188,4665,147,0,0,0,0,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,3266,94,3131,41,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,2662,93,2521,48,0,0,0,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,1483,34,1439,10,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,2916,62,2824,30,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,1689,69,1598,22,0,0,0,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,1405,43,1348,14,0,0,0,0,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,3500,64,3407,29,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,1942,48,1881,13,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,1856,47,1783,26,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,1254,39,1188,27,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,4627,221,4304,102,0,0,0,0,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,1234,41,1177,16,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,3472,121,3290,61,0,0,0,0,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,2747,60,2680,7,0,0,0,0,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,94,2,92,0,0,0,0,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,19,3,16,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,22,0,22,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,286,5,281,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,318,11,307,0,0,0,0,0,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,390,15,375,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,82,0,82,0,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,35,0,35,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,28,1,27,0,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,178,3,174,1,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,0,0,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,6397,83,6191,51,72,0,0,0,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,41,6,34,1,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,3710,76,3584,21,29,0,0,0,0,,
443,NL,Nagaland,NL_Longleng,Longleng,18,0,9,0,9,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,178,46,124,2,6,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,603,0,592,2,9,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,502,3,498,0,1,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,47,3,44,0,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,244,0,243,1,0,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,39,1,35,1,2,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,142,0,139,0,3,0,0,0,0,,
0,OR,Odisha,OR_State Pool,State Pool,8306,76,8230,0,0,0,0,0,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,,
451,OR,Odisha,OR_Angul,Angul,10858,224,10597,37,0,0,0,0,0,,
452,OR,Odisha,OR_Balangir,Balangir,8480,105,8336,39,0,0,0,0,0,,
453,OR,Odisha,OR_Balasore,Balasore,12043,128,11816,99,0,0,0,0,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,10128,110,9978,40,0,0,0,0,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,7402,33,7340,29,0,0,0,0,0,,
455,OR,Odisha,OR_Boudh,Boudh,2772,10,2751,11,0,0,0,0,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,28713,176,28395,142,0,0,0,0,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,1274,15,1254,5,0,0,0,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,5694,6,5659,29,0,0,0,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,3977,4,3940,33,0,0,0,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,21805,19,21532,254,0,0,0,0,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,9073,37,8998,38,0,0,0,0,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,11944,99,11819,26,0,0,0,0,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,7481,68,7387,26,0,0,0,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,6303,37,6235,31,0,0,0,0,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,5924,4,5887,33,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,9035,123,8883,29,0,0,0,0,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,7874,71,7766,37,0,0,0,0,0,,
469,OR,Odisha,OR_Khordha,Khordha,52685,128,52225,332,0,0,0,0,0,,
470,OR,Odisha,OR_Koraput,Koraput,7852,36,7800,16,0,0,0,0,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,5220,11,5182,27,0,0,0,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,13891,93,13706,92,0,0,0,0,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,5803,19,5769,15,0,0,0,0,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,6450,19,6385,46,0,0,0,0,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,7303,63,7213,27,0,0,0,0,0,,
476,OR,Odisha,OR_Puri,Puri,13996,42,13835,119,0,0,0,0,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,8366,18,8303,45,0,0,0,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,9323,161,9086,76,0,0,0,0,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,4696,7,4668,21,0,0,0,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,14635,337,14128,170,0,0,0,0,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,14487,423,13513,551,0,0,0,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,2274,50,2160,64,0,0,0,0,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,9106,182,8718,206,0,0,0,0,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,3855,61,3720,74,0,0,0,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,2501,30,2360,111,0,0,0,0,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,3837,49,3720,68,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,4521,33,4346,142,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,7928,164,7514,250,0,0,0,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,7719,118,7291,310,0,0,0,0,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,19885,397,18848,640,0,0,0,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,4723,114,4413,196,0,0,0,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,24737,343,23432,962,0,0,0,0,0,,
497,PB,Punjab,PB_Mansa,Mansa,2390,43,2296,51,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,2737,41,2603,93,0,0,0,0,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,5711,174,5384,153,0,0,0,0,0,,
500,PB,Punjab,PB_Patiala,Patiala,15727,245,15005,477,0,0,0,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,3329,109,3058,162,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,18143,1153,16651,339,0,0,0,0,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,4352,24,4128,200,0,0,0,0,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,2365,43,2240,82,0,0,0,0,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,3808,55,3657,96,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,2104,14,1986,104,0,0,0,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,3781,43,3676,62,0,0,0,0,0,"2 case of TN has been transferred,so has been reduced from the total count.",
482,PY,Puducherry,PY_Mahe,Mahe,1763,89,1666,8,0,0,0,0,0,"1 case of KL have been transferred,so have been reduced from the total count",
483,PY,Puducherry,PY_Puducherry,Puducherry,30453,221,29714,518,0,0,0,0,0,"209 cases(204 of TN, 1 of AP and 4 other) have been transferred,so have been reduced from the total count.[July 18]4 cases have transferred to TN and have been reduced from recovered cases.",
484,PY,Puducherry,PY_Yanam,Yanam,2099,10,2044,45,0,0,0,0,0,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,16492,350,15923,219,0,0,0,0,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,21412,369,20965,78,0,0,0,0,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,2120,186,1900,34,0,0,0,0,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,2473,248,2192,33,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,4941,132,4760,49,0,0,0,0,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,8971,97,8754,120,0,0,0,0,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,9603,376,9188,39,0,0,0,0,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,18988,76,18746,166,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,85,0,85,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,2866,237,2610,19,0,0,0,0,0,,
